algorithm,topology,churn_rate,trial,n_initial,n_rounds,leader_changes,re_elections,avg_alive,avg_lqs,lqs_std
Fitness,random,0.2,5,20,50,4,4,24.72,0.875342372132865,2.220446049250313e-16
Bully,random,0.2,5,20,50,5,5,24.72,0.7765438077949015,0.0
Random,random,0.2,5,20,50,3,3,24.72,0.8125157328163537,2.220446049250313e-16
HighBattery,random,0.2,5,20,50,4,4,24.72,0.8249523168979499,1.1102230246251565e-16
MostConnected,random,0.2,5,20,50,3,3,24.72,0.875342372132865,2.220446049250313e-16
Raft,random,0.2,5,20,50,3,3,24.72,0.8169215687570877,0.0
Fitness,random,0.2,6,20,50,3,3,21.8,0.9203512329433677,1.1102230246251565e-16
Bully,random,0.2,6,20,50,7,7,21.8,0.8466848721985037,0.0
Random,random,0.2,6,20,50,5,5,21.8,0.7006104999103304,1.1102230246251565e-16
HighBattery,random,0.2,6,20,50,4,4,21.8,0.91499073024319,0.0
MostConnected,random,0.2,6,20,50,3,3,21.8,0.9646790708134604,1.1102230246251565e-16
Raft,random,0.2,6,20,50,4,4,21.8,0.7006104999103304,1.1102230246251565e-16
Fitness,random,0.2,7,20,50,2,2,22.08,0.962571405299642,1.1102230246251565e-16
Bully,random,0.2,7,20,50,7,7,22.08,0.6562109511228192,1.1102230246251565e-16
Random,random,0.2,7,20,50,4,4,22.08,0.7322277233127175,1.1102230246251565e-16
HighBattery,random,0.2,7,20,50,4,4,22.08,1.0,0.0
MostConnected,random,0.2,7,20,50,4,4,22.08,0.962571405299642,1.1102230246251565e-16
Raft,random,0.2,7,20,50,5,5,22.08,0.962571405299642,1.1102230246251565e-16
Fitness,random,0.2,8,20,50,5,5,20.36,1.0,0.0
Bully,random,0.2,8,20,50,7,7,20.36,0.6924017561147418,0.0
Random,random,0.2,8,20,50,3,3,20.36,0.7747588682676257,1.1102230246251565e-16
HighBattery,random,0.2,8,20,50,2,2,20.36,0.7531555433739192,1.1102230246251565e-16
MostConnected,random,0.2,8,20,50,6,6,20.36,0.9391775180874192,1.1102230246251565e-16
Raft,random,0.2,8,20,50,3,3,20.36,0.7826046739330108,1.1102230246251565e-16
