algorithm,topology,n_agents,failure_type,trial,initial_leader,initial_lqs,initial_rounds,killed_agents,recovery_leader,recovery_lqs,recovery_rounds,recovery_messages,recovery_notes
Raft,random,10,leader_and_secondary,11,1,0.8684483832187532,6,2,3.0,0.8275482038571748,6,17,term=1
Fitness,random,10,leader_and_secondary,12,9,1.0,7,2,0.0,1.0,6,48,
Bully,random,10,leader_and_secondary,12,9,1.0,10,2,7.0,0.9342103370961212,8,36,
Random,random,10,leader_and_secondary,12,7,0.6795181446215738,1,2,6.0,0.6814492301082609,1,8,
HighBattery,random,10,leader_and_secondary,12,9,1.0,2,2,4.0,0.653471324760763,2,8,
MostConnected,random,10,leader_and_secondary,12,9,1.0,2,2,1.0,1.0,2,12,
Raft,random,10,leader_and_secondary,12,0,0.7919534575743934,7,2,3.0,0.9233473858640731,6,15,term=1
Fitness,random,10,leader_and_secondary,13,4,1.0,6,2,8.0,1.0,6,40,
Bully,random,10,leader_and_secondary,13,9,0.8117689161375222,10,2,7.0,0.7207618973318686,8,36,
Random,random,10,leader_and_secondary,13,7,0.7481774314576769,1,2,2.0,0.7092965448467319,1,8,
HighBattery,random,10,leader_and_secondary,13,9,0.8117689161375222,2,2,8.0,0.9016920935486915,2,8,
MostConnected,random,10,leader_and_secondary,13,4,1.0,2,2,8.0,1.0,2,10,
Raft,random,10,leader_and_secondary,13,0,0.6232153755980062,6,2,8.0,1.0,6,20,term=1
Fitness,random,10,leader_and_secondary,14,1,1.0,6,2,8.0,1.0,7,80,
Bully,random,10,leader_and_secondary,14,9,0.8179374300538959,10,2,7.0,0.7802328133479006,8,36,
Random,random,10,leader_and_secondary,14,8,0.7882710423135656,1,2,0.0,0.7486089624594435,1,8,
HighBattery,random,10,leader_and_secondary,14,0,0.7756032842331921,2,2,1.0,0.9870852223483381,2,8,
MostConnected,random,10,leader_and_secondary,14,1,1.0,2,2,4.0,0.9842401591454681,2,16,
Raft,random,10,leader_and_secondary,14,1,1.0,6,2,4.0,0.9834233446255233,7,19,term=1
Fitness,random,10,leader_and_secondary,15,9,1.0,6,2,2.0,1.0,7,90,
Bully,random,10,leader_and_secondary,15,9,1.0,10,2,7.0,0.7310231773364073,8,36,
Random,random,10,leader_and_secondary,15,3,0.6158188933747106,1,2,2.0,0.6880177093909906,1,8,
HighBattery,random,10,leader_and_secondary,15,7,0.6638299512225976,2,2,9.0,1.0,2,8,
MostConnected,random,10,leader_and_secondary,15,9,1.0,2,2,4.0,1.0,2,18,
Raft,random,10,leader_and_secondary,15,4,0.7495417980783841,6,2,0.0,0.7797636282818162,6,19,No consensus after 20 terms
Fitness,random,10,leader_and_secondary,16,9,1.0,7,2,3.0,1.0,5,12,
Bully,random,10,leader_and_secondary,16,9,1.0,10,2,7.0,0.6755873985547917,8,36,
Random,random,10,leader_and_secondary,16,3,0.9378712224385969,1,2,5.0,0.8636289122482402,1,8,
HighBattery,random,10,leader_and_secondary,16,3,0.9378712224385969,2,2,9.0,0.9868268187522747,2,8,
MostConnected,random,10,leader_and_secondary,16,0,0.9580521419397994,2,2,3.0,1.0,2,4,
Raft,random,10,leader_and_secondary,16,3,0.9378712224385969,6,2,0.0,1.0,7,19,No consensus after 20 terms
Fitness,random,10,leader_and_secondary,17,1,1.0,7,2,0.0,1.0,6,48,
Bully,random,10,leader_and_secondary,17,9,0.9346165324527709,10,2,7.0,0.7263543674304082,8,36,
Random,random,10,leader_and_secondary,17,3,0.6461208221189388,1,2,8.0,0.9271504357792647,1,8,
HighBattery,random,10,leader_and_secondary,17,9,0.9346165324527709,2,2,2.0,0.7974199953023955,2,8,
MostConnected,random,10,leader_and_secondary,17,1,1.0,2,2,5.0,0.9993633034568177,2,8,
Raft,random,10,leader_and_secondary,17,1,1.0,6,2,0.0,1.0,6,18,No consensus after 20 terms
