algorithm,topology,n_agents,trial,rounds_to_converge,messages_sent,lqs,graph_diameter,graph_density,election_time_ms
Fitness,random,5,28,5,36,1.0,2,0.6,1.3744430000031116
Bully,random,5,28,5,15,0.6618240161692959,2,0.6,0.8336940000077675
Random,random,5,28,1,5,0.9701284751961451,2,0.6,0.7257949999939228
HighBattery,random,5,28,2,5,0.9701284751961451,2,0.6,0.9021930000017164
MostConnected,random,5,28,2,12,1.0,2,0.6,1.1159069999990834
Raft,random,5,28,6,11,0.8262042998548498,2,0.6,0.7997360000047138
Fitness,random,5,29,6,32,1.0,4,0.4,1.1958679999963806
Bully,random,5,29,5,15,0.6988510230869848,4,0.4,0.4946090000004233
Random,random,5,29,1,5,0.9692872337293967,4,0.4,0.4545270000022583
HighBattery,random,5,29,2,5,1.0,4,0.4,0.961954000004539
MostConnected,random,5,29,2,8,1.0,4,0.4,0.8356630000037057
Raft,random,5,29,6,11,1.0,4,0.4,0.6965950000079602
Fitness,scale_free,5,0,6,48,1.0,3,0.6,2.0335179999904085
Bully,scale_free,5,0,5,15,0.8422747926558322,3,0.6,0.8840370000058329
Random,scale_free,5,0,1,5,0.9143961456678867,3,0.6,0.778085999996847
HighBattery,scale_free,5,0,2,5,1.0,3,0.6,0.7178080000045384
MostConnected,scale_free,5,0,2,12,0.8763455441919192,3,0.6,0.8851719999967145
Raft,scale_free,5,0,6,12,1.0,3,0.6,0.8574999999950705
Fitness,scale_free,5,1,5,36,1.0,2,0.6,2.0984060000017735
Bully,scale_free,5,1,5,15,0.782109229461965,2,0.6,0.9158910000053311
